,#FILEFORMAT=VCFv4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,#FILEDATE=01.18.2022,New this version,,,,,,,,,,,,,,,,,,,,,,,,,
no,field_name,vcf_field,schema_title,do_import,value_example,scope,source_name,source_version,description,field_type,sub_embedding_group,is_list,priority,source,pattern,default,min,max,enum_list,links_to,embedded_field,calculated_property,link,comments,annotation_space_location,abbreviation,add_no_value
1,CHROM,CHROM,Chromosome,Y,1;2;3;4;5;6;22;X;Y;M,variant,VCF,,Chromosome,string,,N,,,,,,,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,X,Y,M",,,,,,Position,,
2,START,POS,Start Position,Y,1482001,variant,VCF,,Start Position,integer,,N,,,,,1,,,,,,,,,,
3,END,END,End Position,Y,300760,variant,VCF,,End Position,integer,,N,,,,,1,,,,,,,,,,
4,SV_TYPE,SVTYPE,Variant Type,Y,DEL;DUP,variant,VCF,,Structural variant type,string,,N,,,,,,,"DUP,DEL",,,,,,,,
5,CALL_INFO,sample,Sample ID,Y,NA12877_sample,sample_variant,VCF,,Sample Identifier,string,,N,,,,,,,,,,,,,,,
6,GT,GT,Genotype,Y,0/1,sample_variant,VCF,,Genotype,string,,N,,,,,,,,,,,,,,,
7,GQ,GQ,Genotype Quality,Y,603,sample_variant,VCF,,Genotype quality,integer,,N,,,,,,,,,,,,,,,
8,PL,PL,"Genotype Likelihoods (0/0, 0/1, 1/1)",Y,"859,0,600",sample_variant,VCF,,"Normalized, Phred-scaled likelihoods for genotypes as defined in the VCF specification",string,,N,,,,,,,,,,,,,,,
9,gnomadg_af,AF,gnomAD-SV Alt Allele Frequency,Y,0.0345,variant,gnomAD,v2.1,Alternate allele frequency in samples,number,,N,,,,,0,1,,,,,,,,,Y
10,gnomadg_ac,AC,gnomAD-SV Alt Allele Count,Y,210,variant,gnomAD,v2.1,Alternate allele count for samples,integer,,N,,,,,0,,,,,,,,,,Y
11,gnomadg_an,AN,gnomAD-SV Alt Allele Number,Y,1032,variant,gnomAD,v2.1,Total number of alleles in samples,integer,,N,,,,,0,,,,,,,,,,Y
12,gnomadg_af-afr,AFR_AF,gnomAD-SV Alt AF - African-American/African,Y,0.0345,variant,gnomAD,v2.1,Alternate allele frequency in samples of African-American/African ancestry,number,,N,,,,,0,1,,,,,,,,,Y
13,gnomadg_ac-afr,AFR_AC,gnomAD-SV Alt AC - African-American/African,Y,210,variant,gnomAD,v2.1,Alternate allele count for samples of African-American/African ancestry,integer,,N,,,,,0,,,,,,,,,,Y
14,gnomadg_an-afr,AFR_AN,gnomAD-SV Alt AN - African-American/African,Y,1032,variant,gnomAD,v2.1,Total number of alleles in samples of African-American/African ancestry,integer,,N,,,,,0,,,,,,,,,,Y
15,gnomadg_af-amr,AMR_AF,gnomAD-SV Alt AF - Latino,Y,0.0345,variant,gnomAD,v2.1,Alternate allele frequency in samples of Latino ancestry,number,,N,,,,,0,1,,,,,,,,,Y
16,gnomadg_ac-amr,AMR_AC,gnomAD-SV Alt AC - Latino,Y,210,variant,gnomAD,v2.1,Alternate allele count for samples of Latino ancestry,integer,,N,,,,,0,,,,,,,,,,Y
17,gnomadg_an-amr,AMR_AN,gnomAD-SV Alt AN - Latino,Y,1032,variant,gnomAD,v2.1,Total number of alleles in samples of Latino ancestry,integer,,N,,,,,0,,,,,,,,,,Y
18,gnomadg_af-eas,EAS_AF,gnomAD-SV Alt AF - East Asian,Y,0.0345,variant,gnomAD,v2.1,Alternate allele frequency in samples of East Asian ancestry,number,,N,,,,,0,1,,,,,,,,,Y
19,gnomadg_ac-eas,EAS_AC,gnomAD-SV Alt AC - East Asian,Y,210,variant,gnomAD,v2.1,Alternate allele count for samples of East Asian ancestry,integer,,N,,,,,0,,,,,,,,,,Y
20,gnomadg_an-eas,EAS_AN,gnomAD-SV Alt AN - East Asian,Y,1032,variant,gnomAD,v2.1,Total number of alleles in samples of East Asian ancestry,integer,,N,,,,,0,,,,,,,,,,Y
21,gnomadg_af-eur,EUR_AF,gnomAD-SV Alt AF - European,Y,0.0345,variant,gnomAD,v2.1,Alternate allele frequency in samples of European ancestry,number,,N,,,,,0,1,,,,,,,,,Y
22,gnomadg_ac-eur,EUR_AC,gnomAD-SV Alt AC - European,Y,210,variant,gnomAD,v2.1,Alternate allele count for samples of European ancestry,integer,,N,,,,,0,,,,,,,,,,Y
